source_id	link_type	url	http_status	audit_status	checked_date
BATTER_S1_012	raw_data_url	https://www.ebi.ac.uk/ena/browser/view/PRJEB40918	206	reachable	2026-08-10
BATTER_S1_013	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/33319794/	200	reachable	2026-08-10
BATTER_S1_013	doi_url	https://doi.org/10.1038/s41597-020-00775-w	200	reachable	2026-08-10
BATTER_S1_013	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC7738537/	200	reachable	2026-08-10
BATTER_S1_013	raw_data_url	https://www.ebi.ac.uk/ena/browser/view/PRJEB31507	206	reachable	2026-08-10
BATTER_S1_014	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/33319794/	200	reachable	2026-08-10
BATTER_S1_014	doi_url	https://doi.org/10.1038/s41597-020-00775-w	200	reachable	2026-08-10
BATTER_S1_014	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC7738537/	200	reachable	2026-08-10
BATTER_S1_014	raw_data_url	https://www.ebi.ac.uk/ena/browser/view/PRJEB36379	206	reachable	2026-08-10
BATTER_S1_015	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/33319794/	200	reachable	2026-08-10
BATTER_S1_015	doi_url	https://doi.org/10.1038/s41597-020-00775-w	200	reachable	2026-08-10
BATTER_S1_015	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC7738537/	200	reachable	2026-08-10
BATTER_S1_015	raw_data_url	https://www.ncbi.nlm.nih.gov/sra?term=SRX6937123%20OR%20SRX6937124	200	reachable	2026-08-10
BATTER_S1_016	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/33319794/	200	reachable	2026-08-10
BATTER_S1_016	doi_url	https://doi.org/10.1038/s41597-020-00775-w	200	reachable	2026-08-10
BATTER_S1_016	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC7738537/	200	reachable	2026-08-10
BATTER_S1_016	raw_data_url	https://www.ebi.ac.uk/ena/browser/view/PRJEB36379	206	reachable	2026-08-10
BATTER_S1_017	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/33947798/	200	reachable	2026-08-10
BATTER_S1_017	doi_url	https://doi.org/10.1128/mSystems.01013-20	403	reachable_restricted	2026-08-10
BATTER_S1_017	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC8269248/	200	reachable	2026-08-10
